kabupaten_kota;tahun;komoditas;produksi;luas_panen;produktivitas;
Tanggamus;2019;Ubikayu / Ketela Pohon;4696.049347;191;245.8664579;
Tanggamus;2020;Jagung;0;0;0;
Tanggamus;2020;Kacang Hijau;142;104;13.65384615;
Tanggamus;2020;Kacang Tamnah;218.9641576;138.9;15.76415822;
Tanggamus;2020;Kedelai;122.9783929;78.7;15.62622527;
Tanggamus;2020;Padi;148158.63;26905.17;55.06697412;
Tanggamus;2020;Padi Ladang;0;0;0;
Tanggamus;2020;Padi Sawah;0;0;0;
Tanggamus;2020;Ubijalar;1648.954901;108;152.6810094;
Tanggamus;2020;Ubikayu / Ketela Pohon;2949.516912;157;187.8673193;
Tanggamus;2021;Jagung;0;0;0;
Tanggamus;2021;Kacang Hijau;108.8;105;10.36190476;
Tanggamus;2021;Kacang Tamnah;178.110134;131.3;13.56512826;
Tanggamus;2021;Kedelai;279.344978;187.7;14.88252414;
Tanggamus;2021;Padi;123414.48;22572.24;54.67533572;
Tanggamus;2021;Padi Ladang;0;0;0;
Tanggamus;2021;Padi Sawah;0;0;0;
Tanggamus;2021;Ubijalar;1729.091368;111;155.7739972;
Tanggamus;2021;Ubikayu / Ketela Pohon;4058.214667;164.5;246.6999797;
Tanggamus;2022;Jagung;0;0;0;
Tanggamus;2022;Kacang Hijau;42.1;48.8;8.62704918;
Tanggamus;2022;Kacang Tamnah;138.6889035;98.7;14.05156064;
Tanggamus;2022;Kedelai;464.6287411;261.5;17.76782949;
Tanggamus;2022;Padi;128674.92;22563.4;57.02816065;
Tanggamus;2022;Padi Ladang;0;0;0;
Tanggamus;2022;Padi Sawah;0;0;0;
Tanggamus;2022;Ubijalar;1558.7056;108;144.3245926;
Tanggamus;2022;Ubikayu / Ketela Pohon;3966.697515;144.8;273.9431985;
Tanggamus;2023;Jagung;0;0;0;
Tanggamus;2023;Kacang Hijau;0;0;0;
Tanggamus;2023;Kacang Tamnah;0;0;0;
Tanggamus;2023;Kedelai;0;0;0;
Tanggamus;2023;Padi;147163.03;25430.89;57.86782531;
Tanggamus;2023;Padi Ladang;0;0;0;
Tanggamus;2023;Padi Sawah;0;0;0;
Tanggamus;2023;Ubijalar;0;0;0;
Tanggamus;2023;Ubikayu / Ketela Pohon;0;0;0;
Lampung Selatan;2017;Jagung;690784.5498;128034;53.95321163;
Lampung Selatan;2017;Kacang Hijau;0;108.2;0;
Lampung Selatan;2017;Kacang Tamnah;150.9927508;115.9;13.02784735;
Lampung Selatan;2017;Kedelai;511;391.7;13.04569824;
Lampung Selatan;2017;Padi;600393;114164.4;52.59021201;
Lampung Selatan;2017;Padi Ladang;0;0;0;
Lampung Selatan;2017;Padi Sawah;0;0;0;
Lampung Selatan;2017;Ubijalar;1205.919582;116.8;103.2465396;
Lampung Selatan;2017;Ubikayu / Ketela Pohon;97267.72317;4266.7;227.9694452;
Lampung Selatan;2018;Jagung;0;0;0;
Lampung Selatan;2018;Kacang Hijau;88;86.2;10.20881671;
