komoditas,tanggal,harga pangan
Beras,01/01/2018,-
Daging Ayam,01/01/2018,-
Daging Sapi,01/01/2018,-
Telur Ayam,01/01/2018,-
Bawang Merah,01/01/2018,-
Bawang Putih,01/01/2018,-
Cabai Merah Besar,01/01/2018,-
Cabai Merah Keriting,01/01/2018,-
Cabai Rawit Hijau,01/01/2018,-
Cabai Rawit Merah,01/01/2018,-
Minyak Goreng,01/01/2018,-
Gula Pasir,01/01/2018,-
"Telur Ayam,16/01/2018,""21,700"""
"Bawang Merah,16/01/2018,""17,750"""
"Bawang Putih,16/01/2018,""20,500"""
"Cabai Merah Besar,16/01/2018,""44,250"""
"Cabai Merah Keriting,16/01/2018,""38,250"""
"Cabai Rawit Hijau,16/01/2018,""40,500"""
"Cabai Rawit Merah,16/01/2018,""43,650"""
"Minyak Goreng,16/01/2018,""13,250"""
"Gula Pasir,16/01/2018,""12,800"""
"Beras,17/01/2018,""12,400"""
"Daging Ayam,17/01/2018,""31,850"""
"Daging Sapi,17/01/2018,""110,000"""
"Telur Ayam,17/01/2018,""21,400"""
"Bawang Merah,17/01/2018,""17,500"""
"Bawang Putih,17/01/2018,""20,500"""
"Cabai Merah Besar,17/01/2018,""43,750"""
"Cabai Merah Keriting,17/01/2018,""38,000"""
"Cabai Rawit Hijau,17/01/2018,""41,250"""
"Cabai Rawit Merah,17/01/2018,""43,900"""
"Minyak Goreng,17/01/2018,""13,250"""
"Gula Pasir,17/01/2018,""12,800"""
"Beras,18/01/2018,""12,400"""
"Daging Ayam,18/01/2018,""31,750"""
"Daging Sapi,18/01/2018,""110,000"""
"Telur Ayam,18/01/2018,""21,400"""
"Bawang Merah,18/01/2018,""17,500"""
"Bawang Putih,18/01/2018,""20,500"""
"Cabai Merah Besar,18/01/2018,""43,250"""
"Cabai Merah Keriting,18/01/2018,""37,000"""
"Cabai Rawit Hijau,18/01/2018,""42,750"""
"Cabai Rawit Merah,18/01/2018,""46,150"""
"Minyak Goreng,18/01/2018,""13,250"""
"Gula Pasir,18/01/2018,""12,800"""
"Beras,19/01/2018,""12,400"""
"Daging Ayam,19/01/2018,""31,750"""
"Daging Sapi,19/01/2018,""110,000"""
"Telur Ayam,19/01/2018,""21,250"""
"Bawang Merah,19/01/2018,""17,400"""
"Bawang Putih,19/01/2018,""20,250"""
"Cabai Merah Besar,19/01/2018,""43,250"""
"Cabai Merah Keriting,19/01/2018,""35,900"""
"Cabai Rawit Hijau,19/01/2018,""42,150"""
"Cabai Rawit Merah,19/01/2018,""45,000"""
"Minyak Goreng,19/01/2018,""13,250"""
"Gula Pasir,19/01/2018,""12,800"""
"Beras,22/01/2018,""12,450"""
"Daging Ayam,22/01/2018,""31,750"""
"Daging Sapi,22/01/2018,""110,000"""
"Telur Ayam,22/01/2018,""21,150"""
"Bawang Merah,22/01/2018,""17,000"""
"Bawang Putih,22/01/2018,""20,750"""
"Cabai Merah Besar,22/01/2018,""41,650"""
"Cabai Merah Keriting,22/01/2018,""31,750"""
"Cabai Rawit Hijau,22/01/2018,""42,000"""
"Cabai Rawit Merah,22/01/2018,""44,400"""
"Minyak Goreng,22/01/2018,""13,200"""
"Gula Pasir,22/01/2018,""12,750"""
"Beras,23/01/2018,""12,450"""
"Daging Ayam,23/01/2018,""31,750"""
"Daging Sapi,23/01/2018,""110,000"""
"Telur Ayam,23/01/2018,""21,250"""
"Bawang Merah,23/01/2018,""16,900"""
"Bawang Putih,23/01/2018,""20,750"""
"Cabai Merah Besar,23/01/2018,""41,500"""
"Cabai Merah Keriting,23/01/2018,""31,900"""
"Cabai Rawit Hijau,23/01/2018,""41,400"""
"Cabai Rawit Merah,23/01/2018,""42,900"""
"Minyak Goreng,23/01/2018,""13,200"""
"Gula Pasir,23/01/2018,""12,750"""
"Beras,24/01/2018,""12,450"""
"Daging Ayam,24/01/2018,""31,750"""
"Daging Sapi,24/01/2018,""110,000"""
"Telur Ayam,24/01/2018,""21,250"""
"Bawang Merah,24/01/2018,""16,900"""
"Bawang Putih,24/01/2018,""20,500"""
"Cabai Merah Besar,24/01/2018,""41,750"""
"Cabai Merah Keriting,24/01/2018,""32,150"""
"Cabai Rawit Hijau,24/01/2018,""41,150"""
"Cabai Rawit Merah,24/01/2018,""42,400"""
"Minyak Goreng,24/01/2018,""13,150"""
"Gula Pasir,24/01/2018,""12,750"""
"Beras,25/01/2018,""12,450"""
"Daging Ayam,25/01/2018,""31,750"""
"Daging Sapi,25/01/2018,""110,000"""
"Telur Ayam,25/01/2018,""21,250"""
"Bawang Merah,25/01/2018,""16,900"""
"Bawang Putih,25/01/2018,""20,250"""
"Cabai Merah Besar,25/01/2018,""43,750"""
"Cabai Merah Keriting,25/01/2018,""34,750"""
"Cabai Rawit Hijau,25/01/2018,""42,750"""
"Cabai Rawit Merah,25/01/2018,""42,250"""
"Minyak Goreng,25/01/2018,""13,150"""
"Gula Pasir,25/01/2018,""12,750"""
"Beras,26/01/2018,""12,450"""
"Daging Ayam,26/01/2018,""31,750"""
"Daging Sapi,26/01/2018,""110,000"""
"Telur Ayam,26/01/2018,""21,250"""
"Bawang Merah,26/01/2018,""17,250"""
"Bawang Putih,26/01/2018,""20,250"""
"Cabai Merah Besar,26/01/2018,""44,150"""
"Cabai Merah Keriting,26/01/2018,""34,900"""
"Cabai Rawit Hijau,26/01/2018,""41,400"""
