Tahun;Kode Wilayah;Kabupaten_Kota;Kelompok Bahan;Komoditas;Konsumsi Pangan
2023;1801;Lampung Selatan;Pangan Hewani;Daging Unggas;8,15
2023;1801;Lampung Selatan;Pangan Hewani;Telur;7,51
2023;1801;Lampung Selatan;Pangan Hewani;Susu;1,81
2023;1801;Lampung Selatan;Pangan Hewani;Ikan ;22,99
2023;1801;Lampung Selatan;Minyak dan Lemak;Minyak dan Lemak;12,01
2023;1801;Lampung Selatan;Minyak dan Lemak;Minyak Kelapa;0,04
2023;1801;Lampung Selatan;Minyak dan Lemak;Minyak sawit;11,58
2023;1801;Lampung Selatan;Minyak dan Lemak;Minyak lainnya;0,39
2023;1801;Lampung Selatan;Buah/Biji Berminyak;Buah/Biji Berminyak;1,35
2023;1801;Lampung Selatan;Buah/Biji Berminyak;Kelapa;1,12
2023;1801;Lampung Selatan;Buah/Biji Berminyak;Kemiri;0,23
2023;1801;Lampung Selatan;Kacang-kacangan;Kacang-kacangan;13,02
2023;1801;Lampung Selatan;Kacang-kacangan;Kedelai;12,54
2023;1801;Lampung Selatan;Kacang-kacangan;Kacang tanah;0,17
2023;1801;Lampung Selatan;Kacang-kacangan;Kacang hijau;0,20
2023;1801;Lampung Selatan;Kacang-kacangan;kacang lain;0,11
2023;1801;Lampung Selatan;Gula;Gula;6,31
2023;1801;Lampung Selatan;Gula;Gula Pasir;5,65
2023;1801;Lampung Selatan;Gula;Gula Merah;0,66
2023;1801;Lampung Selatan;Sayur dan Buah;Sayur dan Buah;95,35
2023;1801;Lampung Selatan;Sayur dan Buah;Sayur;62,14
2023;1801;Lampung Selatan;Sayur dan Buah;Buah;33,21
2023;1807;Lampung Timur;Padi-Padian;Padi-Padian;107,19
2023;1807;Lampung Timur;Padi-Padian;Beras;92,81
2023;1807;Lampung Timur;Padi-Padian;Jagung;0,55
2023;1807;Lampung Timur;Padi-Padian;Terigu;13,83
2023;1807;Lampung Timur;Umbi-umbian;Umbi-umbian;17,43
2023;1807;Lampung Timur;Umbi-umbian;Singkong;13,35
2023;1807;Lampung Timur;Umbi-umbian;Ubi Jalar;2,45
2023;1807;Lampung Timur;Umbi-umbian;kentang;1,43
2023;1807;Lampung Timur;Umbi-umbian;Sagu;0,04
2023;1807;Lampung Timur;Umbi-umbian;Umbi lainnya;0,16
2023;1807;Lampung Timur;Pangan Hewani;Pangan Hewani;40,71
2023;1807;Lampung Timur;Pangan Hewani;Daging Ruminansia;3,33
2023;1807;Lampung Timur;Pangan Hewani;Daging Unggas;7,46
2023;1807;Lampung Timur;Pangan Hewani;Telur;6,49
2023;1807;Lampung Timur;Pangan Hewani;Susu;1,82
2023;1807;Lampung Timur;Pangan Hewani;Ikan ;21,61
2023;1807;Lampung Timur;Minyak dan Lemak;Minyak dan Lemak;11,13
2023;1807;Lampung Timur;Minyak dan Lemak;Minyak Kelapa;0,12
2023;1807;Lampung Timur;Minyak dan Lemak;Minyak sawit;10,69
2023;1807;Lampung Timur;Minyak dan Lemak;Minyak lainnya;0,32
2023;1807;Lampung Timur;Buah/Biji Berminyak;Buah/Biji Berminyak;3,15
2023;1807;Lampung Timur;Buah/Biji Berminyak;Kelapa;2,86
2023;1807;Lampung Timur;Buah/Biji Berminyak;Kemiri;0,29
2023;1807;Lampung Timur;Kacang-kacangan;Kacang-kacangan;10,29
2023;1807;Lampung Timur;Kacang-kacangan;Kedelai;9,49
2023;1807;Lampung Timur;Kacang-kacangan;Kacang tanah;0,45
2023;1807;Lampung Timur;Kacang-kacangan;Kacang hijau;0,22
2023;1807;Lampung Timur;Kacang-kacangan;kacang lain;0,13
2023;1807;Lampung Timur;Gula;Gula;7,18
2023;1807;Lampung Timur;Gula;Gula Pasir;6,00
2023;1807;Lampung Timur;Gula;Gula Merah;1,18
2023;1807;Lampung Timur;Sayur dan Buah;Sayur dan Buah;106,9
2023;1807;Lampung Timur;Sayur dan Buah;Sayur;67,78
2023;1807;Lampung Timur;Sayur dan Buah;Buah;39,12
2023;1802;Lampung Tengah;Padi-Padian;Padi-Padian;111,75
2023;1802;Lampung Tengah;Padi-Padian;Beras;92,70
2023;1802;Lampung Tengah;Padi-Padian;Jagung;0,74
2023;1802;Lampung Tengah;Padi-Padian;Terigu;18,31
2023;1802;Lampung Tengah;Umbi-umbian;Umbi-umbian;22,12
2023;1802;Lampung Tengah;Umbi-umbian;Singkong;16,60
2023;1802;Lampung Tengah;Umbi-umbian;Ubi Jalar;3,74
2023;1802;Lampung Tengah;Umbi-umbian;kentang;1,49
2023;1802;Lampung Tengah;Umbi-umbian;Sagu;0,01
2023;1802;Lampung Tengah;Umbi-umbian;Umbi lainnya;0,28
2023;1802;Lampung Tengah;Pangan Hewani;Pangan Hewani;44,28
2023;1802;Lampung Tengah;Pangan Hewani;Daging Ruminansia;3,71
2023;1802;Lampung Tengah;Pangan Hewani;Daging Unggas;7,82
2023;1802;Lampung Tengah;Pangan Hewani;Telur;6,90
2023;1802;Lampung Tengah;Pangan Hewani;Susu;2,23
2023;1802;Lampung Tengah;Pangan Hewani;Ikan ;23,62
2023;1802;Lampung Tengah;Minyak dan Lemak;Minyak dan Lemak;12,31
2023;1802;Lampung Tengah;Minyak dan Lemak;Minyak Kelapa;0,32
2023;1802;Lampung Tengah;Minyak dan Lemak;Minyak sawit;11,69
2023;1802;Lampung Tengah;Minyak dan Lemak;Minyak lainnya;0,30
2023;1802;Lampung Tengah;Buah/Biji Berminyak;Buah/Biji Berminyak;2,62
2023;1802;Lampung Tengah;Buah/Biji Berminyak;Kelapa;2,39
2023;1802;Lampung Tengah;Buah/Biji Berminyak;Kemiri;0,23
2023;1802;Lampung Tengah;Kacang-kacangan;Kacang-kacangan;11,75
2023;1802;Lampung Tengah;Kacang-kacangan;Kedelai;11,14
2023;1802;Lampung Tengah;Kacang-kacangan;Kacang tanah;0,26
2023;1802;Lampung Tengah;Kacang-kacangan;Kacang hijau;0,26
2023;1802;Lampung Tengah;Kacang-kacangan;kacang lain;0,09
2023;1802;Lampung Tengah;Gula;Gula;7,28
2023;1802;Lampung Tengah;Gula;Gula Pasir;5,97
2023;1802;Lampung Tengah;Gula;Gula Merah;1,31
2023;1802;Lampung Tengah;Sayur dan Buah;Sayur dan Buah;112,94
2023;1802;Lampung Tengah;Sayur dan Buah;Sayur;74,39
2023;1802;Lampung Tengah;Sayur dan Buah;Buah;38,55
2023;1803;Lampung Utara;Padi-Padian;Padi-Padian;101,61
2023;1803;Lampung Utara;Padi-Padian;Beras;87,51
2023;1803;Lampung Utara;Padi-Padian;Jagung;0,57
2023;1803;Lampung Utara;Padi-Padian;Terigu;13,53
2023;1803;Lampung Utara;Umbi-umbian;Umbi-umbian;14,82
2023;1803;Lampung Utara;Umbi-umbian;Singkong;10,91
2023;1803;Lampung Utara;Umbi-umbian;Ubi Jalar;2,56
2023;1803;Lampung Utara;Umbi-umbian;kentang;1,15
2023;1803;Lampung Utara;Umbi-umbian;Sagu;0,02
2023;1803;Lampung Utara;Umbi-umbian;Umbi lainnya;0,18
2023;1803;Lampung Utara;Pangan Hewani;Pangan Hewani;39,47
2023;1803;Lampung Utara;Pangan Hewani;Daging Ruminansia;2,78
2023;1803;Lampung Utara;Pangan Hewani;Daging Unggas;6,99
2023;1803;Lampung Utara;Pangan Hewani;Telur;7,15
2023;1803;Lampung Utara;Pangan Hewani;Susu;1,97
2023;1803;Lampung Utara;Pangan Hewani;Ikan ;20,58
2023;1803;Lampung Utara;Minyak dan Lemak;Minyak dan Lemak;11,38
2023;1803;Lampung Utara;Minyak dan Lemak;Minyak Kelapa;0,13
2023;1803;Lampung Utara;Minyak dan Lemak;Minyak sawit;11,21
2023;1803;Lampung Utara;Minyak dan Lemak;Minyak lainnya;0,04
2023;1803;Lampung Utara;Buah/Biji Berminyak;Buah/Biji Berminyak;0,63
2023;1803;Lampung Utara;Buah/Biji Berminyak;Kelapa;0,61
2023;1803;Lampung Utara;Buah/Biji Berminyak;Kemiri;0,02
2023;1803;Lampung Utara;Kacang-kacangan;Kacang-kacangan;8,58
